reason_slot,reason_code,share
reason_1,HIGH_DTI,0.3656
reason_1,LOW_BUREAU_SCORE,0.2878
reason_1,HIGH_UTILIZATION,0.1594
reason_1,RECENT_DELINQUENCY,0.145
reason_1,RECENT_CREDIT_SEEKING,0.0211
reason_1,LOW_CASH_BUFFER,0.0167
reason_2,HIGH_UTILIZATION,0.3017
reason_2,HIGH_DTI,0.2717
reason_2,LOW_BUREAU_SCORE,0.1389
reason_2,RECENT_DELINQUENCY,0.1233
reason_2,RECENT_CREDIT_SEEKING,0.0628
reason_2,LOW_CASH_BUFFER,0.0611
reason_3,HIGH_UTILIZATION,0.2506
reason_3,HIGH_DTI,0.1906
reason_3,RECENT_CREDIT_SEEKING,0.14
reason_3,LOW_CASH_BUFFER,0.1244
reason_3,LOW_BUREAU_SCORE,0.1072
reason_3,THIN_CREDIT_FILE,0.0972
